Prepared 2024-01-16 21:28
Chromosome	Arm	Band	Abnormality	 
14	q	32	t(4;14)(p13;q32)	 Splenic marginal zone B-cell lymphoma
4	p	16	t(4;14)(p16;q32)	 Multiple myeloma
14	q	32	t(4;14)(p16;q32)	 Multiple myeloma
4	p	16	t(4;14)(p16;q32)	 Chronic lymphocytic leukemia
14	q	32	t(4;14)(p16;q32)	 Chronic lymphocytic leukemia
4	q	31	t(4;15)(q31;q22)	 Acute myeloid leukemia, NOS
15	q	22	t(4;15)(q31;q22)	 Acute myeloid leukemia, NOS
4	q	12	t(4;17)(q12;q21)	 Acute promyelocytic leukemia (FAB type M3)
17	q	21	t(4;17)(q12;q21)	 Acute promyelocytic leukemia (FAB type M3)
4	q	24	t(4;17)(q24;q25)	 Acute myeloid leukemia, NOS
17	q	25	t(4;17)(q24;q25)	 Acute myeloid leukemia, NOS
4	q	35	t(4;19)(q35;q13)	 Undifferentiated round cell sarcoma
19	q	13	t(4;19)(q35;q13)	 Undifferentiated round cell sarcoma
4	q	12	t(4;20)(q12;p11)	 Acute myeloblastic leukemia with maturation (FAB type M2)
20	p	11	t(4;20)(q12;p11)	 Acute myeloblastic leukemia with maturation (FAB type M2)
4	p	16	t(4;22)(p16;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(4;22)(p16;q11)	 Chronic myeloid leukemia, aberrant translocation
4	q	12	t(4;22)(q12;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(4;22)(q12;q11)	 Chronic myeloid leukemia, aberrant translocation
4	q	12	t(4;22)(q12;q11)	 Atypical chronic myeloid leukemia
22	q	11	t(4;22)(q12;q11)	 Atypical chronic myeloid leukemia
4	q	12	t(4;22)(q12;q11)	 Chronic myeloproliferative disorder, NOS
22	q	11	t(4;22)(q12;q11)	 Chronic myeloproliferative disorder, NOS
4	q	12	t(4;22)(q12;q11)	 Chronic eosinophilic leukemia/hypereosinophilic syndrome
22	q	11	t(4;22)(q12;q11)	 Chronic eosinophilic leukemia/hypereosinophilic syndrome
4	q	31	t(4;22)(q31;q11)	 Burkitt lymphoma/leukemia
22	q	11	t(4;22)(q31;q11)	 Burkitt lymphoma/leukemia
5	q	14	t(5;5)(q14;q33)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	q	33	t(5;5)(q14;q33)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	q	13	t(5;6)(q13;p21)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
6	p	21	t(5;6)(q13;p21)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	p	15	t(5;7)(p15;p11)	 Splenic marginal zone B-cell lymphoma
7	p	11	t(5;7)(p15;p11)	 Splenic marginal zone B-cell lymphoma
5	q	13	t(5;7)(q13;q36)	 Burkitt lymphoma/leukemia
7	q	36	t(5;7)(q13;q36)	 Burkitt lymphoma/leukemia
5	p	13	t(5;8)(p13;q12)	 Adenoma
8	q	12	t(5;8)(p13;q12)	 Adenoma
5	p	15	t(5;8)(p15;q12)	 Adenoma
8	q	12	t(5;8)(p15;q12)	 Adenoma
5	p	15	t(5;8)(p15;q13)	 Angiofibroma
8	q	13	t(5;8)(p15;q13)	 Angiofibroma
5	q	14	t(5;8)(q14;q23)	 Chronic myeloid leukemia, t(9;22)
8	q	23	t(5;8)(q14;q23)	 Chronic myeloid leukemia, t(9;22)
5	q	23	t(5;9)(q23;q34)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
9	q	34	t(5;9)(q23;q34)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	p	13	t(5;9;22)(p13;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(5;9;22)(p13;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(5;9;22)(p13;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
5	p	15	t(5;9;22)(p15;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(5;9;22)(p15;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(5;9;22)(p15;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
5	q	11	t(5;9;22)(q11;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(5;9;22)(q11;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(5;9;22)(q11;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
5	q	13	t(5;9;22)(q13;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(5;9;22)(q13;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(5;9;22)(q13;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
5	q	23	t(5;9;22)(q23;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(5;9;22)(q23;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(5;9;22)(q23;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
5	q	31	t(5;9;22)(q31;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(5;9;22)(q31;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(5;9;22)(q31;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
5	q	32	t(5;10)(q32;q21)	 Chronic eosinophilic leukemia/hypereosinophilic syndrome
10	q	21	t(5;10)(q32;q21)	 Chronic eosinophilic leukemia/hypereosinophilic syndrome
5	q	33	t(5;10)(q33;q21)	 Acute myeloid leukemia, NOS
10	q	21	t(5;10)(q33;q21)	 Acute myeloid leukemia, NOS
5	q	33	t(5;10)(q33;q22)	 Atypical chronic myeloid leukemia
10	q	22	t(5;10)(q33;q22)	 Atypical chronic myeloid leukemia
5	q	31	t(5;11)(q31;p15)	 Acute myeloid leukemia, NOS
11	p	15	t(5;11)(q31;p15)	 Acute myeloid leukemia, NOS
5	q	31	t(5;11)(q31;q23)	 Acute myeloid leukemia, NOS
11	q	23	t(5;11)(q31;q23)	 Acute myeloid leukemia, NOS
5	q	31	t(5;11)(q31;q23)	 Acute myelomonocytic leukemia (FAB type M4)
11	q	23	t(5;11)(q31;q23)	 Acute myelomonocytic leukemia (FAB type M4)
5	q	31	t(5;11)(q31;q23)	 Acute monoblastic leukemia (FAB type M5)
11	q	23	t(5;11)(q31;q23)	 Acute monoblastic leukemia (FAB type M5)
5	q	31	t(5;11)(q31;q23)	 Acute monoblastic leukemia with differentiation (FAB type M5b)
11	q	23	t(5;11)(q31;q23)	 Acute monoblastic leukemia with differentiation (FAB type M5b)
5	q	31	t(5;11)(q31;q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	23	t(5;11)(q31;q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	q	35	t(5;11)(q35;p15)	 Acute myeloid leukemia, NOS
11	p	15	t(5;11)(q35;p15)	 Acute myeloid leukemia, NOS
5	q	35	t(5;11)(q35;p15)	 Acute myeloblastic leukemia without maturation (FAB type M1)
11	p	15	t(5;11)(q35;p15)	 Acute myeloblastic leukemia without maturation (FAB type M1)
5	q	35	t(5;11)(q35;p15)	 Acute myeloblastic leukemia with maturation (FAB type M2)
11	p	15	t(5;11)(q35;p15)	 Acute myeloblastic leukemia with maturation (FAB type M2)
5	q	35	t(5;11)(q35;p15)	 Acute myelomonocytic leukemia (FAB type M4)
11	p	15	t(5;11)(q35;p15)	 Acute myelomonocytic leukemia (FAB type M4)
5	q	35	t(5;11)(q35;p15)	 Acute monoblastic leukemia (FAB type M5)
11	p	15	t(5;11)(q35;p15)	 Acute monoblastic leukemia (FAB type M5)
5	q	35	t(5;11)(q35;p15)	 Acute monoblastic leukemia with differentiation (FAB type M5b)
11	p	15	t(5;11)(q35;p15)	 Acute monoblastic leukemia with differentiation (FAB type M5b)
5	q	35	t(5;11)(q35;q13)	 Acute myeloblastic leukemia with maturation (FAB type M2)
11	q	13	t(5;11)(q35;q13)	 Acute myeloblastic leukemia with maturation (FAB type M2)
5	q	35	t(5;11)(q35;q13)	 Oncocytoma
11	q	13	t(5;11)(q35;q13)	 Oncocytoma
5	q	35	t(5;11)(q35;q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	23	t(5;11)(q35;q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	p	13	t(5;12)(p13;q14)	 Mesenchymal tumor, special type
12	q	14	t(5;12)(p13;q14)	 Mesenchymal tumor, special type
5	q	13	t(5;12)(q13;p13)	 Acute myeloblastic leukemia with maturation (FAB type M2)
12	p	13	t(5;12)(q13;p13)	 Acute myeloblastic leukemia with maturation (FAB type M2)
5	q	13	t(5;12)(q13;p13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
12	p	13	t(5;12)(q13;p13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	q	22	t(5;12)(q22;q24)	 Leiomyoma
12	q	24	t(5;12)(q22;q24)	 Leiomyoma
5	q	31	t(5;12)(q31;p12)	 Atypical chronic myeloid leukemia
12	p	12	t(5;12)(q31;p12)	 Atypical chronic myeloid leukemia
5	q	31	t(5;12)(q31;p13)	 Acute myeloid leukemia, NOS
12	p	13	t(5;12)(q31;p13)	 Acute myeloid leukemia, NOS
5	q	31	t(5;12)(q31;p13)	 Acute myeloblastic leukemia with maturation (FAB type M2)
12	p	13	t(5;12)(q31;p13)	 Acute myeloblastic leukemia with maturation (FAB type M2)
5	q	31	t(5;12)(q31;p13)	 Myelodysplastic/myeloproliferative disease, NOS
12	p	13	t(5;12)(q31;p13)	 Myelodysplastic/myeloproliferative disease, NOS
5	q	31	t(5;12)(q31;p13)	 Chronic eosinophilic leukemia/hypereosinophilic syndrome
12	p	13	t(5;12)(q31;p13)	 Chronic eosinophilic leukemia/hypereosinophilic syndrome
5	q	32	t(5;12)(q32;p13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
12	p	13	t(5;12)(q32;p13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	q	33	t(5;12)(q33;p13)	 Acute myeloid leukemia, NOS
12	p	13	t(5;12)(q33;p13)	 Acute myeloid leukemia, NOS
5	q	33	t(5;12)(q33;p13)	 Acute myelomonocytic leukemia (FAB type M4)
12	p	13	t(5;12)(q33;p13)	 Acute myelomonocytic leukemia (FAB type M4)
5	q	33	t(5;12)(q33;p13)	 Myelodysplastic/myeloproliferative disease, NOS
12	p	13	t(5;12)(q33;p13)	 Myelodysplastic/myeloproliferative disease, NOS
5	q	33	t(5;12)(q33;p13)	 Chronic myelomonocytic leukemia
12	p	13	t(5;12)(q33;p13)	 Chronic myelomonocytic leukemia
5	q	33	t(5;12)(q33;p13)	 Chronic myeloproliferative disorder, NOS
12	p	13	t(5;12)(q33;p13)	 Chronic myeloproliferative disorder, NOS
5	q	33	t(5;12)(q33;p13)	 Chronic eosinophilic leukemia/hypereosinophilic syndrome
12	p	13	t(5;12)(q33;p13)	 Chronic eosinophilic leukemia/hypereosinophilic syndrome
5	q	33	t(5;12)(q33;p13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
12	p	13	t(5;12)(q33;p13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	q	33	t(5;12)(q33;q13)	 Chronic myeloproliferative disorder, NOS
12	q	13	t(5;12)(q33;q13)	 Chronic myeloproliferative disorder, NOS
5	q	33	t(5;12)(q33;q13)	 Lipoma
12	q	13	t(5;12)(q33;q13)	 Lipoma
5	q	33	t(5;12)(q33;q14)	 Lipoma
12	q	14	t(5;12)(q33;q14)	 Lipoma
5	q	33	t(5;12)(q33;q15)	 Lipoma
12	q	15	t(5;12)(q33;q15)	 Lipoma
5	q	33	t(5;12)(q33;q24)	 Chronic eosinophilic leukemia/hypereosinophilic syndrome
12	q	24	t(5;12)(q33;q24)	 Chronic eosinophilic leukemia/hypereosinophilic syndrome
5	q	13	t(5;13)(q13;q14)	 Chronic lymphocytic leukemia
13	q	14	t(5;13)(q13;q14)	 Chronic lymphocytic leukemia
5	q	15	t(5;13)(q15;q14)	 Chronic lymphocytic leukemia
13	q	14	t(5;13)(q15;q14)	 Chronic lymphocytic leukemia
5	q	34	t(5;13)(q34;q14)	 Chronic lymphocytic leukemia
13	q	14	t(5;13)(q34;q14)	 Chronic lymphocytic leukemia
5	q	31	t(5;14)(q31;q32)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
14	q	32	t(5;14)(q31;q32)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	q	35	t(5;14)(q35;q11)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
14	q	11	t(5;14)(q35;q11)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	q	35	t(5;14)(q35;q22)	 Chronic myeloid leukemia, t(9;22)
14	q	22	t(5;14)(q35;q22)	 Chronic myeloid leukemia, t(9;22)
5	q	35	t(5;14)(q35;q32)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
14	q	32	t(5;14)(q35;q32)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	p	13	t(5;15)(p13;q11)	 Chronic lymphocytic leukemia
15	q	11	t(5;15)(p13;q11)	 Chronic lymphocytic leukemia
5	p	15	t(5;15)(p15;q11)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
15	q	11	t(5;15)(p15;q11)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	p	15	t(5;15)(p15;q11)ort(5;15)(p15;q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
15	q	11	t(5;15)(p15;q11)ort(5;15)(p15;q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	p	15	t(5;15)(p15;q11)ort(5;15)(p15;q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
15	q	13	t(5;15)(p15;q11)ort(5;15)(p15;q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	q	13	t(5;15)(q13;q26)	 Chronic lymphocytic leukemia
15	q	26	t(5;15)(q13;q26)	 Chronic lymphocytic leukemia
5	q	11	t(5;17)(q11;q11)	 Acute myeloid leukemia, NOS
17	q	11	t(5;17)(q11;q11)	 Acute myeloid leukemia, NOS
5	q	35	t(5;17)(q35;q21)	 Acute promyelocytic leukemia (FAB type M3)
17	q	21	t(5;17)(q35;q21)	 Acute promyelocytic leukemia (FAB type M3)
5	q	35	t(5;18)(q35;q21)	 Acute myeloblastic leukemia with maturation (FAB type M2)
18	q	21	t(5;18)(q35;q21)	 Acute myeloblastic leukemia with maturation (FAB type M2)
5	q	13	t(5;19)(q13;q13)	 Adenoma
19	q	13	t(5;19)(q13;q13)	 Adenoma
5	q	13	t(5;19)(q13;q13)	 Nonneoplastic epithelial disorder/lesion
19	q	13	t(5;19)(q13;q13)	 Nonneoplastic epithelial disorder/lesion
5	q	31	t(5;21)(q31;q22)	 Acute myelomonocytic leukemia (FAB type M4)
21	q	22	t(5;21)(q31;q22)	 Acute myelomonocytic leukemia (FAB type M4)
5	q	35	t(5;22)(q35;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(5;22)(q35;q11)	 Chronic myeloid leukemia, aberrant translocation
6	p	25	t(6;6)(p25;p21)	 Chronic lymphocytic leukemia
6	p	21	t(6;6)(p25;p21)	 Chronic lymphocytic leukemia
6	p	21	t(6;7)(p21;q22)	 Follicular lymphoma
7	q	22	t(6;7)(p21;q22)	 Follicular lymphoma
6	p	21	t(6;7)(p21;q36)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	q	36	t(6;7)(p21;q36)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
6	p	24	t(6;7)(p24;q21)	 Chronic myeloid leukemia, t(9;22)
7	q	21	t(6;7)(p24;q21)	 Chronic myeloid leukemia, t(9;22)
6	q	23	t(6;7)(q23;q34)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	q	34	t(6;7)(q23;q34)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
6	p	12	t(6;8)(p12;q24)	 Acute myeloid leukemia, NOS
8	q	24	t(6;8)(p12;q24)	 Acute myeloid leukemia, NOS
6	p	21	t(6;8)(p21;q12)	 Adenoma
8	q	12	t(6;8)(p21;q12)	 Adenoma
6	p	21	t(6;8)(p21;q24)	 Multiple myeloma
8	q	24	t(6;8)(p21;q24)	 Multiple myeloma
6	p	21	t(6;8)(p21;q24)	 Dendritic cell neoplasm
8	q	24	t(6;8)(p21;q24)	 Dendritic cell neoplasm
6	p	23	t(6;8)(p23;p21)	 Chronic lymphocytic leukemia
8	p	21	t(6;8)(p23;p21)	 Chronic lymphocytic leukemia
6	q	21	t(6;8)(q21;q24)	 Multiple myeloma
8	q	24	t(6;8)(q21;q24)	 Multiple myeloma
6	q	27	t(6;8)(q27;p11)	 Chronic myeloproliferative disorder, NOS
8	p	11	t(6;8)(q27;p11)	 Chronic myeloproliferative disorder, NOS
6	q	27	t(6;8)(q27;p12)	 Chronic myeloproliferative disorder, NOS
8	p	12	t(6;8)(q27;p12)	 Chronic myeloproliferative disorder, NOS
6	p	12	t(6;9)(p12;p24)	 Oncocytoma
9	p	24	t(6;9)(p12;p24)	 Oncocytoma
6	p	21	t(6;9)(p21;p23)	 Oncocytoma
9	p	23	t(6;9)(p21;p23)	 Oncocytoma
6	p	21	t(6;9)(p21;q33)	 Acute myeloblastic leukemia with maturation (FAB type M2)
9	q	33	t(6;9)(p21;q33)	 Acute myeloblastic leukemia with maturation (FAB type M2)
6	p	21	t(6;9)(p21;q34)	 Acute myeloid leukemia, NOS
9	q	34	t(6;9)(p21;q34)	 Acute myeloid leukemia, NOS
6	p	22	t(6;9)(p22;q34)	 Acute myeloid leukemia, NOS
9	q	34	t(6;9)(p22;q34)	 Acute myeloid leukemia, NOS
6	p	22	t(6;9)(p22;q34)	 Acute myeloblastic leukemia without maturation (FAB type M1)
9	q	34	t(6;9)(p22;q34)	 Acute myeloblastic leukemia without maturation (FAB type M1)
6	p	22	t(6;9)(p22;q34)	 Acute myeloblastic leukemia with maturation (FAB type M2)
9	q	34	t(6;9)(p22;q34)	 Acute myeloblastic leukemia with maturation (FAB type M2)
6	p	23	t(6;9)(p23;p13)	 Follicular lymphoma
9	p	13	t(6;9)(p23;p13)	 Follicular lymphoma
6	p	23	t(6;9)(p23;q34)	 Acute myeloid leukemia, NOS
9	q	34	t(6;9)(p23;q34)	 Acute myeloid leukemia, NOS
6	p	23	t(6;9)(p23;q34)	 Acute myeloblastic leukemia without maturation (FAB type M1)
9	q	34	t(6;9)(p23;q34)	 Acute myeloblastic leukemia without maturation (FAB type M1)
6	p	23	t(6;9)(p23;q34)	 Acute myeloblastic leukemia with maturation (FAB type M2)
9	q	34	t(6;9)(p23;q34)	 Acute myeloblastic leukemia with maturation (FAB type M2)
6	p	23	t(6;9)(p23;q34)	 Acute myelomonocytic leukemia (FAB type M4)
9	q	34	t(6;9)(p23;q34)	 Acute myelomonocytic leukemia (FAB type M4)
6	p	23	t(6;9)(p23;q34)	 Acute monoblastic leukemia (FAB type M5)
9	q	34	t(6;9)(p23;q34)	 Acute monoblastic leukemia (FAB type M5)
6	p	23	t(6;9)(p23;q34)	 Acute myeloid leukemia, special type
9	q	34	t(6;9)(p23;q34)	 Acute myeloid leukemia, special type
6	p	23	t(6;9)(p23;q34)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(6;9)(p23;q34)	 Chronic myeloid leukemia, aberrant translocation
6	p	23	t(6;9)(p23;q34)	 Myelodysplastic syndrome, NOS
9	q	34	t(6;9)(p23;q34)	 Myelodysplastic syndrome, NOS
6	p	23	t(6;9)(p23;q34)	 Refractory anemia with excess of blasts (FAB)
9	q	34	t(6;9)(p23;q34)	 Refractory anemia with excess of blasts (FAB)
6	p	23	t(6;9)(p23;q34)	 Refractory anemia with excess blasts-2
9	q	34	t(6;9)(p23;q34)	 Refractory anemia with excess blasts-2
6	p	25	t(6;9)(p25;p13)	 Follicular lymphoma
9	p	13	t(6;9)(p25;p13)	 Follicular lymphoma
6	p	11	t(6;9;22)(p11;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(6;9;22)(p11;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(6;9;22)(p11;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
6	p	12	t(6;9;22)(p12;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(6;9;22)(p12;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(6;9;22)(p12;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
6	p	21	t(6;9;22)(p21;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(6;9;22)(p21;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(6;9;22)(p21;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
6	p	22	t(6;9;22)(p22;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(6;9;22)(p22;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(6;9;22)(p22;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
6	p	23	t(6;9;22)(p23;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(6;9;22)(p23;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(6;9;22)(p23;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
6	p	24	t(6;9;22)(p24;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(6;9;22)(p24;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(6;9;22)(p24;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
6	q	21	t(6;9;22)(q21;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(6;9;22)(q21;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(6;9;22)(q21;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
6	q	22	t(6;9;22)(q22;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(6;9;22)(q22;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(6;9;22)(q22;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
6	q	23	t(6;9;22)(q23;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	t(6;9;22)(q23;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
22	q	11	t(6;9;22)(q23;q34;q11)	 Chronic myeloid leukemia, aberrant translocation
6	p	21	t(6;10)(p21;q22)	 Leiomyoma
10	q	22	t(6;10)(p21;q22)	 Leiomyoma
6	p	21	t(6;10)(p21;q22)	 Chondroid hamartoma
10	q	22	t(6;10)(p21;q22)	 Chondroid hamartoma
6	q	27	t(6;10)(q27;q24)	 Adenoma
10	q	24	t(6;10)(q27;q24)	 Adenoma
6	p	21	t(6;11)(p21;q12)	 Adenocarcinoma
11	q	12	t(6;11)(p21;q12)	 Adenocarcinoma
6	p	21	t(6;11)(p21;q12)	 Malignant epithelial tumor, special type
11	q	12	t(6;11)(p21;q12)	 Malignant epithelial tumor, special type
6	p	21	t(6;11)(p21;q13)	 Oncocytoma
11	q	13	t(6;11)(p21;q13)	 Oncocytoma
6	p	21	t(6;11)(p21;q13)	 Adenocarcinoma
11	q	13	t(6;11)(p21;q13)	 Adenocarcinoma
6	p	25	t(6;11)(p25;q23)	 Chronic lymphocytic leukemia
11	q	23	t(6;11)(p25;q23)	 Chronic lymphocytic leukemia
6	q	13	t(6;11)(q13;q13)	 Chronic myeloid leukemia, t(9;22)
11	q	13	t(6;11)(q13;q13)	 Chronic myeloid leukemia, t(9;22)
6	q	21	t(6;11)(q21;q23)	 Acute myeloid leukemia, NOS
11	q	23	t(6;11)(q21;q23)	 Acute myeloid leukemia, NOS
6	q	27	t(6;11)(q27;q23)	 Acute myeloid leukemia, NOS
11	q	23	t(6;11)(q27;q23)	 Acute myeloid leukemia, NOS
6	q	27	t(6;11)(q27;q23)	 Acute myeloblastic leukemia without maturation (FAB type M1)
11	q	23	t(6;11)(q27;q23)	 Acute myeloblastic leukemia without maturation (FAB type M1)
6	q	27	t(6;11)(q27;q23)	 Acute myeloblastic leukemia with maturation (FAB type M2)
11	q	23	t(6;11)(q27;q23)	 Acute myeloblastic leukemia with maturation (FAB type M2)
6	q	27	t(6;11)(q27;q23)	 Acute myelomonocytic leukemia (FAB type M4)
11	q	23	t(6;11)(q27;q23)	 Acute myelomonocytic leukemia (FAB type M4)
6	q	27	t(6;11)(q27;q23)	 Acute monoblastic leukemia (FAB type M5)
11	q	23	t(6;11)(q27;q23)	 Acute monoblastic leukemia (FAB type M5)
6	q	27	t(6;11)(q27;q23)	 Acute monoblastic leukemia without differentiation (FAB type M5a)
11	q	23	t(6;11)(q27;q23)	 Acute monoblastic leukemia without differentiation (FAB type M5a)
6	q	27	t(6;11)(q27;q23)	 Acute monoblastic leukemia with differentiation (FAB type M5b)
11	q	23	t(6;11)(q27;q23)	 Acute monoblastic leukemia with differentiation (FAB type M5b)
6	q	27	t(6;11)(q27;q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	23	t(6;11)(q27;q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
6	q	27	t(6;11)(q27;q23)	 Multiple myeloma
11	q	23	t(6;11)(q27;q23)	 Multiple myeloma
6	q	27	t(6;11;10)(q27;q23;p13)	 Acute myeloid leukemia, NOS
11	q	23	t(6;11;10)(q27;q23;p13)	 Acute myeloid leukemia, NOS
10	p	13	t(6;11;10)(q27;q23;p13)	 Acute myeloid leukemia, NOS
6	p	21	t(6;12)(p21;p13)	 Acute myeloid leukemia, NOS
12	p	13	t(6;12)(p21;p13)	 Acute myeloid leukemia, NOS
6	p	21	t(6;12)(p21;p13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
12	p	13	t(6;12)(p21;p13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
6	p	21	t(6;12)(p21;q13)	 Chronic lymphocytic leukemia
12	q	13	t(6;12)(p21;q13)	 Chronic lymphocytic leukemia
6	q	15	t(6;12)(q15;p13)	 B-prolymphocytic leukemia
12	p	13	t(6;12)(q15;p13)	 B-prolymphocytic leukemia
6	q	21	t(6;12)(q21;p13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
12	p	13	t(6;12)(q21;p13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
6	q	23	t(6;12)(q23;q13)	 Adenocarcinoma
12	q	13	t(6;12)(q23;q13)	 Adenocarcinoma
6	p	21	t(6;13)(p21;q14)	 Chronic lymphocytic leukemia
13	q	14	t(6;13)(p21;q14)	 Chronic lymphocytic leukemia
6	q	15	t(6;13)(q15;q14)	 Chronic lymphocytic leukemia
13	q	14	t(6;13)(q15;q14)	 Chronic lymphocytic leukemia
6	q	25	t(6;13)(q25;q14)	 Chronic lymphocytic leukemia
13	q	14	t(6;13)(q25;q14)	 Chronic lymphocytic leukemia
6	p	12	t(6;14)(p12;q32)	 Splenic marginal zone B-cell lymphoma
14	q	32	t(6;14)(p12;q32)	 Splenic marginal zone B-cell lymphoma
6	p	21	t(6;14)(p21;q24)	 Adenoma
14	q	24	t(6;14)(p21;q24)	 Adenoma
6	p	21	t(6;14)(p21;q24)	 Chondroid hamartoma
14	q	24	t(6;14)(p21;q24)	 Chondroid hamartoma
6	p	21	t(6;14)(p21;q32)	 Multiple myeloma
14	q	32	t(6;14)(p21;q32)	 Multiple myeloma
6	p	21	t(6;14)(p21;q32)	 Plasma cell leukemia
14	q	32	t(6;14)(p21;q32)	 Plasma cell leukemia
6	p	21	t(6;14)(p21;q32)	 Splenic marginal zone B-cell lymphoma
